origin_year,draw_id,horizon,indicator,value
1985,131,1,union_membership_rate,10.541927444626472
1985,131,1,vep_turnout_pct,36.63302787357182
1985,132,1,trust_media_pct,27.85614482008361
1985,132,1,union_membership_rate,10.542059106238387
1985,132,1,vep_turnout_pct,36.717446513979375
1985,133,1,trust_media_pct,27.86959094009829
1985,133,1,union_membership_rate,10.543579320741793
1985,133,1,vep_turnout_pct,36.72004090280748
1985,134,1,trust_media_pct,27.97259776763814
1985,134,1,union_membership_rate,10.548295642453253
1985,134,1,vep_turnout_pct,37.02203064651085
1985,135,1,trust_media_pct,28.062893872489582
1985,135,1,union_membership_rate,10.549614222530568
1985,135,1,vep_turnout_pct,37.09643984930186
1985,136,1,trust_media_pct,28.071182368444187
1985,136,1,union_membership_rate,10.550576814587728
1985,136,1,vep_turnout_pct,37.19882134372242
1985,137,1,trust_media_pct,28.167930329590245
1985,137,1,union_membership_rate,10.552626483904062
1985,137,1,vep_turnout_pct,37.23821896274916
1985,138,1,trust_media_pct,28.1882238165302
1985,138,1,union_membership_rate,10.555098557240541
1985,138,1,vep_turnout_pct,37.42108198566502
1985,139,1,trust_media_pct,28.208872584351393
1985,139,1,union_membership_rate,10.562269538595567
1985,139,1,vep_turnout_pct,37.44020956852656
1985,140,1,trust_media_pct,28.222320494448013
1985,140,1,union_membership_rate,10.56365152542003
1985,140,1,vep_turnout_pct,37.47087169839357
1985,141,1,trust_media_pct,28.224921128113813
1985,141,1,union_membership_rate,10.568425891768658
1985,141,1,vep_turnout_pct,37.60698523193434
1985,142,1,trust_media_pct,28.22538111696766
1985,142,1,union_membership_rate,10.575460624563968
1985,142,1,vep_turnout_pct,38.13893333864507
1985,143,1,trust_media_pct,28.239680998635535
1985,143,1,union_membership_rate,10.57549342905629
1985,143,1,vep_turnout_pct,38.14939786090369
1985,144,1,trust_media_pct,28.2425647244853
1985,144,1,union_membership_rate,10.576233425810207
1985,144,1,vep_turnout_pct,38.37986224256116
1985,145,1,trust_media_pct,28.287568107947518
1985,145,1,union_membership_rate,10.578787841922642
1985,145,1,vep_turnout_pct,38.621890237658576
1985,146,1,trust_media_pct,28.301547323123735
1985,146,1,union_membership_rate,10.584942061106236
1985,146,1,vep_turnout_pct,38.67611938622193
1985,147,1,trust_media_pct,28.314846078797697
1985,147,1,union_membership_rate,10.597506959936506
1985,147,1,vep_turnout_pct,38.86443425984104
1985,148,1,trust_media_pct,28.36633357806536
1985,148,1,union_membership_rate,10.598836588922248
1985,148,1,vep_turnout_pct,39.22737528592868
1985,149,1,trust_media_pct,28.390033785015316
1985,149,1,union_membership_rate,10.600062556785668
1985,149,1,vep_turnout_pct,39.35408091276297
1985,150,1,trust_media_pct,28.40471736339242
1985,150,1,union_membership_rate,10.60331545018856
1985,150,1,vep_turnout_pct,39.610844435941104
1985,151,1,trust_media_pct,28.42181661021041
1985,151,1,union_membership_rate,10.606349573250608
1985,151,1,vep_turnout_pct,39.6559500227655
1985,152,1,trust_media_pct,28.42792852494598
1985,152,1,union_membership_rate,10.606700958386563
1985,152,1,vep_turnout_pct,39.791219712689
1985,153,1,trust_media_pct,28.44167447144147
1985,153,1,union_membership_rate,10.60908357065581
1985,153,1,vep_turnout_pct,39.80934861161231
1985,154,1,trust_media_pct,28.544794077868126
1985,154,1,union_membership_rate,10.610487793090943
1985,154,1,vep_turnout_pct,40.04430178168672
1985,155,1,trust_media_pct,28.5987472467814
1985,155,1,union_membership_rate,10.616602617691187
1985,155,1,vep_turnout_pct,40.095130108471814
1985,156,1,trust_media_pct,28.604706050277162
1985,156,1,union_membership_rate,10.620313184039887
1985,156,1,vep_turnout_pct,40.12661010156709
1985,157,1,trust_media_pct,28.706849456957528
1985,157,1,union_membership_rate,10.623321938413682
1985,157,1,vep_turnout_pct,40.192840620642606
1985,158,1,trust_media_pct,28.7185377415204
1985,158,1,union_membership_rate,10.631547779678229
1985,158,1,vep_turnout_pct,40.22263359633717
1985,159,1,trust_media_pct,28.760958621919112
1985,159,1,union_membership_rate,10.634405979337785
1985,159,1,vep_turnout_pct,40.64388995326453
1985,160,1,trust_media_pct,28.80211435383928
1985,160,1,union_membership_rate,10.64206543443525
1985,160,1,vep_turnout_pct,40.736466588431135
1985,161,1,trust_media_pct,28.81945974126482
1985,161,1,union_membership_rate,10.64220232234885
1985,161,1,vep_turnout_pct,40.74206121989172
1985,162,1,trust_media_pct,28.835051864552117
1985,162,1,union_membership_rate,10.651851955280042
1985,162,1,vep_turnout_pct,40.869548267847875
1985,163,1,trust_media_pct,28.840473067648702
1985,163,1,union_membership_rate,10.654707482298875
1985,163,1,vep_turnout_pct,40.891678416198836
1985,164,1,trust_media_pct,28.85227697638223
1985,164,1,union_membership_rate,10.660461644562748
1985,164,1,vep_turnout_pct,40.995730621026595
1985,165,1,trust_media_pct,28.863992680211023
1985,165,1,union_membership_rate,10.669682665587278
1985,165,1,vep_turnout_pct,41.20469395393125
1985,166,1,trust_media_pct,28.89889946991807
1985,166,1,union_membership_rate,10.687339184424586
1985,166,1,vep_turnout_pct,41.20739974550022
1985,167,1,trust_media_pct,28.90285235714342
1985,167,1,union_membership_rate,10.692093491227084
1985,167,1,vep_turnout_pct,41.305044457256535
1985,168,1,trust_media_pct,28.93461527036812
1985,168,1,union_membership_rate,10.714532273883693
1985,168,1,vep_turnout_pct,41.42570837002807
1985,169,1,trust_media_pct,28.936973101768572
1985,169,1,union_membership_rate,10.715127370241138
1985,169,1,vep_turnout_pct,41.45184497265732
1985,170,1,trust_media_pct,28.938085665744968
1985,170,1,union_membership_rate,10.71799884744757
1985,170,1,vep_turnout_pct,41.45626735526736
1985,171,1,trust_media_pct,28.9904496235159
1985,171,1,union_membership_rate,10.726270843305858
1985,171,1,vep_turnout_pct,41.65999220196356
1985,172,1,trust_media_pct,29.026271767025293
1985,172,1,union_membership_rate,10.728988209279759
1985,172,1,vep_turnout_pct,41.90023163965535
1985,173,1,trust_media_pct,29.134006174071786
1985,173,1,union_membership_rate,10.739273860788458
1985,173,1,vep_turnout_pct,42.27681170129815
1985,174,1,trust_media_pct,29.14010065282195
1985,174,1,union_membership_rate,10.74088730414364
1985,174,1,vep_turnout_pct,42.38438614020041
1985,175,1,trust_media_pct,29.15669485705668
1985,175,1,union_membership_rate,10.742320937168232
1985,175,1,vep_turnout_pct,42.51528062564536
1985,176,1,trust_media_pct,29.185143517112856
1985,176,1,union_membership_rate,10.742952750708376
1985,176,1,vep_turnout_pct,42.601231130775496
1985,177,1,trust_media_pct,29.189358664897895
1985,177,1,union_membership_rate,10.746001113091188
1985,177,1,vep_turnout_pct,42.63057716481885
1985,178,1,trust_media_pct,29.31996551637632
1985,178,1,union_membership_rate,10.757295302421706
1985,178,1,vep_turnout_pct,42.970991315622065
1985,179,1,trust_media_pct,29.347318551443124
